"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051338","regulation of transferase activity","21/669","304/18860",0.0690789473684211,1.9474274250649,3.1936304770685,0.00290732378422099,0.0326377453810951,0.0263775813656982,"NRG1/PPM1E/WNT5A/NEDD9/CSF1R/PDGFRB/GPRC5A/CDKN1C/TPD52L1/PDGFB/EREG/ADCY8/GAS6/KSR1/TENM1/GPRC5B/LCP2/LDB2/EMP2/CEACAM1/CIMAP3",21
"GO:0019079","viral genome replication","11/669","117/18860",0.094017094017094,2.65046695539969,3.43418995895705,0.00297272370021882,0.0332022613327667,0.0268338189297083,"RSAD2/ISG15/OAS2/IFIT1/IFITM1/OAS1/OASL/MX1/OAS3/GAS6/PROX1",11
"GO:0071356","cellular response to tumor necrosis factor","17/669","226/18860",0.0752212389380531,2.12058679577232,3.25005549708884,0.00298297606950925,0.0332022613327667,0.0268338189297083,"TNFRSF1B/TNFRSF11B/ASS1/CARD16/MAP3K5/ADAMTS12/ANXA4/COL1A1/HAS2/TRAF5/NR1H4/CASP1/TNFRSF19/GAS6/FOS/BIRC3/POSTN",17
"GO:1905330","regulation of morphogenesis of an epithelium","8/669","69/18860",0.115942028985507,3.26856003986049,3.62029515531634,0.00298667748036049,0.0332022613327667,0.0268338189297083,"HGF/WNT5A/ADAMTS12/TBX2/NOG/PDGFA/LIF/BMP4",8
"GO:0032728","positive regulation of interferon-beta production","6/669","41/18860",0.146341463414634,4.12556053811659,3.84207355046499,0.00303899948442247,0.0336203114874727,0.0271716839336154,"ISG15/OAS2/OAS1/OAS3/RIGI/IRF7",6
"GO:0032964","collagen biosynthetic process","7/669","55/18860",0.127272727272727,3.5879874983014,3.68596283643028,0.00316672947849786,0.0346973309046924,0.0280421229599154,"COL5A1/SCX/COL1A1/ITGA2/RCN3/BMP4/SERPINB7",7
"GO:0042634","regulation of hair cycle","5/669","29/18860",0.172413793103448,4.86057419720633,3.98986602784257,0.00323928837795819,0.0350718213243862,0.0283447833122408,"WNT5A/TGFB2/TSKU/FA2H/NGFR",5
"GO:0071229","cellular response to acid chemical","10/669","102/18860",0.0980392156862745,2.7638559160585,3.42542157183406,0.0033461604823788,0.0357669007417511,0.0289065412913255,"COL4A1/ASS1/PDGFD/COL1A1/PNPLA3/COL16A1/SESN3/PDGFRA/COL4A6/NEURL1",10
"GO:0045778","positive regulation of ossification","7/669","56/18860",0.125,3.52391629297459,3.62733729905015,0.00351074868040333,0.0370801600337996,0.0299679076150647,"SOX11/ISG15/WNT5A/CCN3/OSR1/BMP4/PTN",7
"GO:1902895","positive regulation of miRNA transcription","7/669","56/18860",0.125,3.52391629297459,3.62733729905015,0.00351074868040333,0.0370801600337996,0.0299679076150647,"TGFB2/PDGFB/FOS/PAX6/WT1/GATA2/NGFR",7
"GO:0055007","cardiac muscle cell differentiation","12/669","137/18860",0.0875912408759124,2.46931360675592,3.31002418949057,0.00353028444182596,0.0370801600337996,0.0299679076150647,"NRG1/DKK1/PDGFRB/PRICKLE1/SORBS2/CXADR/PDGFRA/DLL1/NKX2-6/PROX1/BMP4/WT1",12
"GO:0098773","skin epidermis development","12/669","137/18860",0.0875912408759124,2.46931360675592,3.31002418949057,0.00353028444182596,0.0370801600337996,0.0299679076150647,"WNT5A/DKK1/TGFB2/PDGFA/TNFRSF19/GLI2/DLL1/LDB2/HOXC13/KRT16/FA2H/NGFR",12
"GO:0016049","cell growth","30/669","499/18860",0.0601202404809619,1.6948695597473,3.01682068111836,0.00359183649727659,0.0374682670229606,0.0302815727768476,"NRG1/WNT5A/SEMA6D/MAP2/BDNF/PRICKLE1/SORBS2/SYT1/TGFB2/CCN3/TRPV2/CLSTN3/FGF13/BDKRB1/SH3GL2/HBEGF/CRABP2/NRCAM/IGFBP1/MMP14/SLIT2/POSTN/KAZALD1/SOCS2/CYFIP2/WT1/CD38/GNG4/CEACAM1/RTN4R",30
"GO:0010927","cellular component assembly involved in morphogenesis","12/669","138/18860",0.0869565217391304,2.45142002989537,3.28171329961937,0.00374543720738636,0.0388929604557915,0.0314329993385439,"ITGB4/TPM1/PDGFRB/MYPN/KRT19/GPC1/AGFG2/PDGFRA/MYL9/PROX1/TNNT1/MYBPC2",12
"GO:0045824","negative regulation of innate immune response","10/669","104/18860",0.0961538461538462,2.71070484074968,3.35479312329956,0.00385065023870049,0.0396642790564349,0.0320563732545354,"ISG15/USP18/SAMHD1/OAS1/OAS3/DTX4/FRK/HLA-F/CEACAM1/MMP12",10
"GO:0031638","zymogen activation","7/669","57/18860",0.12280701754386,3.46209320011539,3.57003476851326,0.00388248554087372,0.0396642790564349,0.0320563732545354,"PLAT/PRSS3/ANXA2P2/C1S/MMP14/C1R/VSIR",7
"GO:0061041","regulation of wound healing","12/669","139/18860",0.0863309352517986,2.43378391457238,3.25364888432275,0.003971021067193,0.0401780849528918,0.0324716273317308,"PLAT/ANGPT2/PDGFB/PDGFA/HBEGF/PDGFRA/FOXC2/SERPINB2/F3/ENPP4/PROS1/CEACAM1",12
"GO:0031032","actomyosin structure organization","16/669","215/18860",0.0744186046511628,2.09795946744534,3.10504891522675,0.00432632237902939,0.0431593164842473,0.0348810363264424,"F11R/PPM1E/TPM1/FRMD3/PDGFRB/MYPN/KRT19/DLC1/LPAR1/PDGFRA/EPB41L4B/MYL9/PROX1/TNNT1/MYBPC2/CORO2B",16
"GO:0034351","negative regulation of glial cell apoptotic process","3/669","10/18860",0.3,8.45739910313901,4.52351267032895,0.00442368835681213,0.0433730302623919,0.0350537582012581,"GAS6/DLL1/PRKCH",3
"GO:0038130","ERBB4 signaling pathway","3/669","10/18860",0.3,8.45739910313901,4.52351267032895,0.00442368835681213,0.0433730302623919,0.0350537582012581,"NRG1/EREG/HBEGF",3
"GO:0002456","T cell mediated immunity","12/669","141/18860",0.0851063829787234,2.39926215691887,3.1982427581533,0.00445491958177758,0.0435857121394898,0.0352256461013766,"RSAD2/TNFRSF1B/HFE/JAG1/RFTN1/CTSC/IL12RB1/HLA-F/EMP2/CEACAM1/SECTM1/CD274",12
"GO:0009913","epidermal cell differentiation","18/669","255/18860",0.0705882352941176,1.98997625956212,3.05227834311113,0.00448258344240779,0.0436743653843124,0.0352972949898441,"SLITRK6/PALLD/WNT5A/TRIM16/JAG1/EREG/KRT80/MAFB/GLI2/DLL1/DSP/PRKCH/PPL/BMP4/PAX6/KRT16/SFRP4/FA2H",18
"GO:0032956","regulation of actin cytoskeleton organization","23/669","357/18860",0.0644257703081232,1.81624817340987,2.98592818530754,0.00448309856976199,0.0436743653843124,0.0352972949898441,"F11R/PPM1E/TPM1/NEDD9/CSF1R/PDGFRB/SIGLEC15/DLC1/LPAR1/TGFB2/CELSR1/PDGFA/PDGFRA/EPHA3/TENM1/PROX1/SLIT2/RND3/CYRIA/SPTA1/CYFIP2/CARMIL2/CORO2B",23
"GO:0007492","endoderm development","9/669","90/18860",0.1,2.81913303437967,3.3173987836209,0.00461384650594386,0.0445818291271506,0.0360307003900529,"COL5A1/COL4A2/DKK1/NOG/COL7A1/LAMA3/MMP14/SOX2/BMP4",9
"GO:0086003","cardiac muscle cell contraction","9/669","91/18860",0.0989010989010989,2.78815355048539,3.27905756226325,0.0049635843566382,0.0474448052834308,0.0383445362763418,"STC1/FGF13/PDE4D/DSC2/PDE4B/DSP/SCN4B/FGF12/ABCC9",9
"GO:0040013","negative regulation of locomotion","26/669","424/18860",0.0613207547169811,1.72871365315735,2.91038596446437,0.00500962576436337,0.047669328423091,0.038525994196174,"ANGPT2/TPM1/DPYSL3/WNT5A/IFITM1/SEMA6D/TGFBR3/NEDD9/NOG/DLC1/ACVR1C/STC1/ADAMTS9/MAGI2/CCN3/JAG1/IL27RA/IL24/SLIT2/BMP4/KRT16/PADI2/RIPOR2/PTPRO/MMP28/NGFR",26
"GO:0048588","developmental cell growth","17/669","238/18860",0.0714285714285714,2.01366645312834,3.01796704761213,0.00502801401457082,0.047669328423091,0.038525994196174,"WNT5A/SEMA6D/MAP2/BDNF/PRICKLE1/SORBS2/SYT1/TRPV2/CLSTN3/FGF13/SH3GL2/CRABP2/NRCAM/SLIT2/POSTN/CYFIP2/RTN4R",17
"GO:0032526","response to retinoic acid","10/669","108/18860",0.0925925925925926,2.61030836516636,3.21840898329217,0.00503923957722761,0.047669328423091,0.038525994196174,"WNT5A/DKK1/WNT9A/TBX2/TRIM16/COL1A1/WNT7B/EPHA3/OSR1/CD38",10
"GO:0002832","negative regulation of response to biotic stimulus","12/669","144/18860",0.0833333333333333,2.34927752864973,3.11688025319089,0.00526812898216026,0.0495269162952474,0.0400272828014256,"ISG15/USP18/CARD16/SAMHD1/OAS1/OAS3/DTX4/FRK/HLA-F/CEACAM1/MMP12/CD274",12
